Date,Ship_Type,Route_Type,Engine_Type,Maintenance_Status,Speed_Over_Ground_knots,Engine_Power_kW,Distance_Traveled_nm,Draft_meters,Weather_Condition,Cargo_Weight_tons,Operational_Cost_USD,Revenue_per_Voyage_USD,Turnaround_Time_hours,Efficiency_nm_per_kWh,Seasonal_Impact_Score,Weekly_Voyage_Count,Average_Load_Percentage
2023-06-04,Container Ship,None,Heavy Fuel Oil (HFO),Critical,12.597557515686042,2062.9839824772353,1030.943615593997,14.132284071125286,Moderate,1959.0178824609432,483832.3545402914,292183.27310355654,25.86707716423384,1.4551788996396922,1.4156532910084927,1,93.76924946510128
2023-06-11,Fish Carrier,Short-haul,Steam Turbine,Good,10.387579878856574,1796.0574150718112,1060.4863823118408,14.653082829717807,Rough,162.39471156248413,483388.0005087935,883765.7873601974,63.24819630913776,0.2903613527548067,0.8856477740728638,6,93.89537229627484
2023-06-18,Container Ship,Long-haul,Diesel,Fair,20.749746644202006,1648.5566845480694,658.8741441343343,7.1992613426501695,Moderate,178.0409166047114,448543.4040437852,394018.7469035761,49.41815004961628,0.49959452358254974,1.405813168988433,9,96.21824442784798
2023-06-25,Bulk Carrier,Transoceanic,Steam Turbine,Fair,21.055102014905927,915.2617948896436,1126.822519111847,11.789062538755969,Moderate,1737.3853461118108,261349.60544928096,87551.37517514905,22.40910958000451,0.7029057082621761,1.3707042784314087,1,66.19369844935224
2023-07-02,Fish Carrier,Transoceanic,Diesel,Fair,13.742776795817988,1089.7218028286502,1445.281158929249,9.727833317955527,Moderate,260.59510334661877,287718.3751603411,676121.4596321962,64.158231375658,1.3313430927501364,0.5833833523053908,8,80.00858071797757
2023-07-09,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Fair,18.616195611741468,2171.646567430521,723.304214719695,14.916319562331653,Rough,1912.5097510947458,184569.04538372654,776698.3548489392,47.47615464955122,1.3702060086697534,1.4377250049044101,7,53.17489765880255
2023-07-16,Fish Carrier,Transoceanic,Heavy Fuel Oil (HFO),Critical,20.43311857278614,2505.0435086214793,270.1185880112646,8.45526416996712,Rough,1191.4364124422495,434449.263514218,739431.825389734,29.04041966725096,1.1203894034356978,0.602931648375234,3,58.50863526954517
2023-07-23,Container Ship,Short-haul,Diesel,Critical,23.498047769495663,814.8064524429055,1717.3284132746649,9.28377990192107,Moderate,318.4492646065337,348380.6082315945,462211.4021990334,52.478600390420524,0.6959745851638408,1.4086633833128088,6,94.5919723118904
2023-07-30,None,Coastal,Heavy Fuel Oil (HFO),Good,17.309361532334922,1179.0188054395132,429.5643130785174,6.002357886411493,Moderate,1953.447929197016,346071.5199416378,448682.8641282065,14.451819775039901,0.9774483265257009,0.7649141332995151,8,50.2470597856354
2023-08-06,Container Ship,Long-haul,Diesel,Fair,23.227100512168306,2685.401653729051,1588.7922821452748,11.721261230899007,Calm,1843.438252438659,149790.20929058615,615230.8574911597,63.74276094580034,0.440676184115645,1.435568716419472,2,79.45133017707369
2023-08-13,Fish Carrier,Short-haul,Steam Turbine,Fair,11.635109413982672,2522.6971944758825,1224.8462670054182,10.900540317805945,Moderate,1130.6046299405932,299189.32994697354,749334.9142324735,47.66533057260437,0.4378355481762697,1.1052601927334038,9,70.50444755684205
2023-08-20,Tanker,Transoceanic,Diesel,Good,18.253577260908877,2129.517895118907,1311.9785765792312,11.955647933599465,Rough,441.25996893704877,481866.26163337374,738063.1712996331,48.185665925099805,1.227064209189107,0.9414481358752889,4,65.98470405960155
2023-08-27,Container Ship,Short-haul,Steam Turbine,Good,10.225342431762162,1599.1261071395713,1499.723611287863,11.136576091888754,Moderate,389.1543981454012,481846.65743541706,738287.2821909467,65.53219505310201,0.5751512085062263,0.5399906705716958,3,84.0878022754275
2023-09-03,Bulk Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,12.50124251034738,2780.449639953995,1474.0718848591584,7.620740183758255,Rough,1109.8026614871583,47653.102980939286,288285.64920962404,25.196565309015785,1.3537688192309374,1.041852381960147,7,87.95404370429772
2023-09-10,Tanker,Long-haul,Diesel,Good,11.7187831853496,1994.025089845864,1320.4578363183314,12.14587022069269,Calm,771.04992199312,405463.92196215724,511613.24484996905,47.47917285181509,1.2890123367104078,0.9904886448010957,7,68.06759183939356
2023-09-17,Tanker,Long-haul,None,Good,15.087218418880006,578.8928793015348,1932.2131318777367,12.998269685828381,Rough,403.8542842708816,424860.5709555665,633712.4507079498,68.22836327134073,0.652674105830203,1.3086865232254667,3,74.51022102245939
2023-09-24,Bulk Carrier,Transoceanic,Heavy Fuel Oil (HFO),Critical,20.737837510524546,2525.6728965520856,1813.9455678401207,10.943832419746522,Rough,1552.2249896637222,270793.6804208148,475171.911477295,38.77708075122482,1.3348229164946168,0.6875318217717346,2,80.72855677860451
2023-10-01,Tanker,Long-haul,Diesel,Good,14.67203769376255,1930.3789825465074,884.7901020683291,5.294924563405826,Moderate,409.2572678020376,256979.61044635315,870358.091615444,54.10294401668294,0.5674501548079114,1.2667652513760137,4,98.24495318861315
2023-10-08,Fish Carrier,Coastal,Diesel,Critical,23.76428684807006,1771.7694846572035,1061.9329732820652,8.521647318256907,Calm,1694.16954822707,118688.61975278996,285852.40971497423,40.86698166452457,0.8366300461834971,0.7855436790710575,3,94.85679674748899
2023-10-15,Bulk Carrier,Long-haul,Diesel,Good,22.638799951120934,1504.1158525177732,1146.9156239443953,12.558873185732706,Calm,699.9804455373177,415284.9170108217,456418.0264874289,22.38503706293397,0.46393458232076745,0.8491694637845948,6,59.89197595786872
2023-10-22,Container Ship,None,Diesel,Critical,23.803846551474805,1120.6992408852093,1169.4784973616054,10.544799006854301,Rough,1084.2555946972957,377335.1828511095,371301.21029822394,57.59360411618811,1.2623669816440677,1.41790099006762,8,83.44322801329102
2023-10-29,Bulk Carrier,Short-haul,Diesel,None,22.76036337732348,2335.262890128015,1461.9175377034035,7.9807622070428055,Calm,1100.9685524743634,441952.07732542045,666766.8828522678,35.56856225654937,1.0500735782618977,0.8750325065939404,6,92.18715846779658
2023-11-05,None,Coastal,Heavy Fuel Oil (HFO),Good,18.754870349619587,1305.423686045821,354.59967488679575,8.052449556529238,Calm,1725.687769931487,14878.151924120484,902159.3716958228,31.406580948827553,0.9300015792504718,0.8647717089313639,2,89.54612571367943
2023-11-12,Container Ship,Coastal,Heavy Fuel Oil (HFO),Good,15.22834729400141,1283.142455932898,713.2055517006775,10.911586225166502,Moderate,1690.483054504694,471255.4255418056,880435.929927906,25.686899113562063,0.17723598120871514,0.6380190534450034,3,68.65401765777871
2023-11-19,None,Coastal,Diesel,Good,18.0690113638911,2922.2825817024354,559.861348770663,10.417704170418997,Calm,1741.081024541601,333900.5817345162,848139.2640942239,20.006237903472986,0.6995533765542917,1.1646947620636379,4,58.54123234670327
2023-11-26,Container Ship,Long-haul,Heavy Fuel Oil (HFO),Good,17.671558339628614,1845.7646990164,1708.7953545611638,10.508273142267493,Rough,1883.3325722836776,275322.8204725425,137635.11596444342,22.346126949976664,0.8859487646210831,0.5180184588451767,4,57.93752487850002
2023-12-03,None,Coastal,Heavy Fuel Oil (HFO),Critical,20.994958012271184,2296.3297861034275,275.1871050048102,7.124894908906112,Calm,53.51655310195799,114527.88093015488,506111.03774796857,52.77458116877233,0.24327060667301542,0.7576878863234896,1,66.67839298544563
2023-12-10,Fish Carrier,Coastal,Diesel,Fair,14.068548942120481,2658.6561637000696,1799.7964049421576,12.081070275860405,Moderate,1568.5283227722846,355591.14611143817,834101.7425863257,37.122409460240334,1.297999284501541,1.362142281977651,5,76.57843893417791
2023-12-17,Bulk Carrier,Short-haul,Steam Turbine,Fair,18.00364740792694,1643.9365401710559,177.1664322201235,9.288473471595939,Moderate,1961.250770340648,396658.3332033629,445673.619224784,48.21087700656727,0.5424507689667319,1.283882453876124,6,91.23208269719964
2023-12-24,Fish Carrier,Transoceanic,Diesel,Fair,11.024443984090949,2957.614133112831,801.8643544981202,13.64420402596233,Calm,730.8652747669533,221816.83237758948,990098.8021058681,46.393277138036325,0.9976806180775862,1.1982718306809828,1,65.92701637448815
2023-12-31,Fish Carrier,Long-haul,Steam Turbine,Good,15.962042289818918,540.9402194788022,1376.4202801025863,14.675854222090976,Moderate,687.1986673470615,470099.7471868531,744680.5994411045,32.983689365518934,0.7923263460647774,0.9306708824720547,5,72.22674119810888
2024-01-07,Fish Carrier,Long-haul,Heavy Fuel Oil (HFO),Good,21.42788382410542,2027.885437433521,1694.344122552683,11.765944514990675,Calm,1348.630861614327,280960.70862947666,996686.2211812148,18.50231358940087,0.15583770919701345,0.8885338735802812,9,68.68472666270353
2024-01-14,Bulk Carrier,None,Heavy Fuel Oil (HFO),Critical,18.055694312516472,2940.980609776943,1674.0560940305757,14.255467803247107,Calm,965.7388988661525,68846.08049631954,124317.07809242242,45.590249058417776,0.5819657307321282,0.9658150998041006,1,79.69627429723604
2024-01-21,Tanker,Transoceanic,Steam Turbine,Good,14.488952818191624,1541.6160052631321,1602.7553991582415,10.24917618671872,Rough,964.4625761612426,297388.47912833607,929996.6107665149,19.25449986067644,0.16050283771256854,1.3074078827731563,3,84.89926921230585
2024-01-28,Tanker,Short-haul,Heavy Fuel Oil (HFO),Critical,23.290970576859742,520.0792590935791,1532.275223689815,11.462348530586734,Calm,1707.6476283842103,33681.75559440062,896032.7120061885,55.78625993887207,0.8072470483845882,0.764879043748765,2,53.95163244742362
2024-02-04,Container Ship,Coastal,Heavy Fuel Oil (HFO),Fair,10.1986619735919,504.48111437838514,378.28538014518256,12.145465295325353,Calm,1312.8686577819658,308742.10699799785,311763.5552267561,65.34143607338488,1.0295765776732457,0.5417226183656665,1,66.40030951470499
2024-02-11,Container Ship,Transoceanic,Steam Turbine,Fair,23.036820458752295,1228.1038827325592,150.19837427332678,7.434287287370802,Moderate,247.27954332971447,348531.2487957669,708213.4963913569,43.668110885140194,0.5394853971773279,0.9385601023398593,2,58.44663825982487
2024-02-18,Fish Carrier,Coastal,Heavy Fuel Oil (HFO),Fair,13.040071094384299,2012.887747027562,1057.3337152681797,13.378385519981888,Moderate,1318.9004745901898,240552.92651884042,849331.5310694589,70.69869142580444,0.27890388035550073,1.1222097350174196,2,59.81211487019982
2024-02-25,Tanker,Long-haul,Diesel,Fair,18.265406372305762,1223.1645641678065,1592.742828050205,6.831528742284072,Calm,1806.104251258819,133451.0642440506,605876.2128431511,39.86225627328852,0.9281846847913122,0.9936935959233593,5,94.98060506369774
2024-03-03,Fish Carrier,Short-haul,Steam Turbine,Good,24.27463876207628,2041.3466174787834,1487.3717181500615,5.5710686082283045,Moderate,1182.9301624598884,282347.7956042516,432936.00648545165,22.31643562698468,0.22585979231035566,1.160802602835008,8,60.965436262141914
